1982:Avril sex(FEMALE),count(6)
1982:Ayah sex(FEMALE),count(1)
1982:Ayda sex(FEMALE),count(1)
1982:Ayesha sex(FEMALE),count(2)
1982:Ayisha sex(FEMALE),count(1)
1982:Aynsley sex(FEMALE),count(2)
1982:Azam sex(MALE),count(1)
1982:Azhar sex(MALE),count(1)
1982:Azher sex(MALE),count(1)
1982:Azim sex(MALE),count(1)
1982:Azria sex(FEMALE),count(1)
1982:Azzam sex(MALE),count(1)
1982:Babak sex(MALE),count(1)
1982:Babu sex(MALE),count(1)
1982:Badreah sex(FEMALE),count(1)
1982:Bahri sex(MALE),count(1)
1982:Baktosch sex(MALE),count(1)
1982:Balal sex(MALE),count(3)
1982:Balfour sex(MALE),count(1)
1982:Baljeet sex(FEMALE),count(1)
1982:Baljinder sex(FEMALE),count(1)
1982:Baljit sex(FEMALE),count(1)
1982:Ban sex(FEMALE),count(2)
1982:Bang sex(MALE),count(1)
1982:Bannan sex(FEMALE),count(1)
1982:Barbara sex(FEMALE),count(30)
1982:Barbara-Anne sex(FEMALE),count(1)
1982:Barbra sex(FEMALE),count(1)
1982:Barclay sex(MALE),count(1)
1982:Bari sex(MALE),count(2)
1982:Barie sex(MALE),count(1)
1982:Barrie sex(MALE),count(27)
1982:Barry sex(MALE),count(401)
1982:Barry-John sex(MALE),count(1)
1982:Basil sex(MALE),count(1)
1982:Bathia sex(FEMALE),count(1)
1982:Baukelien sex(FEMALE),count(1)
1982:Beatrice sex(FEMALE),count(1)
1982:Becky sex(FEMALE),count(7)
1982:Behrooz sex(MALE),count(1)
1982:Beki sex(FEMALE),count(1)
1982:Belinda sex(FEMALE),count(3)
1982:Ben sex(MALE),count(32)
1982:Benedetto sex(MALE),count(1)
1982:Benedict sex(MALE),count(2)
1982:Benjamin sex(MALE),count(70)
1982:Bennett sex(MALE),count(1)
1982:Bernadette sex(FEMALE),count(17)
1982:Bernard sex(MALE),count(11)
1982:Bernice sex(FEMALE),count(2)
1982:Berwyn sex(MALE),count(1)
1982:Beth sex(FEMALE),count(7)
1982:Bethan sex(FEMALE),count(2)
1982:Betsy sex(FEMALE),count(1)
1982:Bevan sex(MALE),count(1)
1982:Beverley sex(FEMALE),count(30)
1982:Beverly sex(FEMALE),count(3)
1982:Bhen sex(MALE),count(1)
1982:Bhupinder sex(MALE),count(1)
1982:Bianca sex(FEMALE),count(3)
1982:Bibi sex(FEMALE),count(1)
1982:Billie sex(FEMALE),count(1)
1982:Billy sex(MALE),count(11)
1982:Billy-Blue sex(MALE),count(1)
1982:Billyjoe sex(MALE),count(1)
1982:Binh sex(MALE),count(1)
1982:Bjorn sex(MALE),count(1)
1982:Blaine sex(MALE),count(1)
1982:Blair sex(MALE),count(47)
1982:Blaire sex(FEMALE),count(1)
1982:Blake sex(MALE),count(1)
1982:Bleu sex(MALE),count(1)
1982:Bobbie sex(FEMALE),count(3)
1982:Bobby sex(MALE),count(5)
1982:Bonnie sex(FEMALE),count(4)
1982:Boyd sex(MALE),count(1)
1982:Brad sex(MALE),count(2)
1982:Bradbury sex(MALE),count(1)
1982:Bradlay sex(MALE),count(1)
1982:Bradley sex(MALE),count(8)
1982:Bram sex(MALE),count(1)
1982:Brandon sex(MALE),count(1)
1982:Brandy sex(FEMALE),count(1)
1982:Bree sex(FEMALE),count(1)
1982:Brenda sex(FEMALE),count(3)
1982:Brenda-Louise sex(FEMALE),count(1)
1982:Brendan sex(MALE),count(17)
1982:Brenden sex(MALE),count(2)
1982:Brenna sex(FEMALE),count(1)
1982:Brent sex(MALE),count(2)
1982:Brett sex(MALE),count(7)
1982:Brian sex(MALE),count(412)
1982:Bridget sex(FEMALE),count(3)
1982:Briege sex(FEMALE),count(1)
1982:Brien sex(MALE),count(1)
1982:Brienne sex(FEMALE),count(1)
1982:Briony sex(FEMALE),count(2)
1982:Britt sex(FEMALE),count(2)
1982:Brodie sex(MALE),count(1)
1982:Bronwyn sex(FEMALE),count(2)
1982:Brooke sex(MALE),count(1)
1982:Brooke sex(FEMALE),count(3)
1982:Bruce sex(MALE),count(56)
1982:Bruxe sex(MALE),count(1)
1982:Bryan sex(MALE),count(131)
1982:Bryant sex(MALE),count(1)
1982:Bryce sex(MALE),count(9)
1982:Brydon sex(MALE),count(2)
1982:Bryony sex(FEMALE),count(9)
1982:Burhan sex(MALE),count(2)
1982:Burt sex(MALE),count(1)
1982:Cabrini sex(MALE),count(1)
1982:Cadence sex(FEMALE),count(1)
1982:Cailien sex(MALE),count(1)
1982:Caimbeul sex(MALE),count(1)
1982:Caireen sex(FEMALE),count(1)
1982:Cairi sex(FEMALE),count(1)
1982:Cairn sex(MALE),count(2)
1982:Caitlin sex(FEMALE),count(2)
1982:Calder sex(MALE),count(1)
1982:Cali sex(FEMALE),count(1)
1982:Callie sex(FEMALE),count(1)
1982:Callum sex(MALE),count(73)
1982:Cally sex(FEMALE),count(1)
1982:Calum sex(MALE),count(89)
1982:Calvin sex(MALE),count(2)
1982:Cameron sex(MALE),count(64)
1982:Camilla sex(FEMALE),count(5)
1982:Camille sex(FEMALE),count(2)
1982:Campbell sex(MALE),count(19)
1982:Candi sex(FEMALE),count(1)
1982:Candice sex(FEMALE),count(11)
1982:Candice-Anne sex(FEMALE),count(1)
1982:Capricia sex(FEMALE),count(1)
1982:Cara sex(FEMALE),count(41)
1982:Cara-Anne sex(FEMALE),count(1)
1982:Caragh sex(FEMALE),count(2)
1982:Caraline sex(FEMALE),count(1)
1982:Caralyn sex(FEMALE),count(1)
1982:Careen sex(FEMALE),count(2)
1982:Caren sex(FEMALE),count(3)
1982:Careth sex(FEMALE),count(1)
1982:Carey sex(FEMALE),count(1)
1982:Carey-Lynne sex(FEMALE),count(1)
1982:Carin sex(FEMALE),count(3)
1982:Carina sex(FEMALE),count(6)
1982:Carine sex(FEMALE),count(1)
1982:Carissa sex(FEMALE),count(1)
1982:Carl sex(MALE),count(7)
1982:Carla sex(FEMALE),count(30)
1982:Carlanne sex(FEMALE),count(1)
1982:Carleen sex(FEMALE),count(3)
1982:Carlene sex(FEMALE),count(2)
1982:Carlo sex(MALE),count(2)
1982:Carlos sex(MALE),count(2)
1982:Carly sex(FEMALE),count(24)
1982:Carlyanne sex(FEMALE),count(1)
1982:Carlyn sex(FEMALE),count(2)
1982:Carlyne sex(FEMALE),count(1)
1982:Carlynn sex(FEMALE),count(2)
1982:Carmel sex(FEMALE),count(1)
1982:Carmen sex(FEMALE),count(6)
1982:Caro sex(FEMALE),count(1)
1982:Carol sex(FEMALE),count(133)
1982:Carol-Ane sex(FEMALE),count(1)
1982:Carol-Ann sex(FEMALE),count(7)
1982:Carol-Anne sex(FEMALE),count(8)
1982:Carolann sex(FEMALE),count(7)
